V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[040,11/29/2022 10:53 AM, 11/29/2022 10:53 AM, Trouble Shooter is working on the problem, 11/29/2022 02:30 PM, 1241446];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[1]=[041,11/29/2022 10:53 AM, 11/29/2022 10:53 AM, Trouble Shooter is working on the problem, 11/29/2022 02:30 PM, 1241446];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[2]=[044,11/29/2022 11:55 AM, 11/29/2022 11:55 AM, A crew is currently working on the problem, 11/29/2022 05:00 PM, 1241530];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[3]=[051,11/29/2022 10:53 AM, 11/29/2022 10:53 AM, Trouble Shooter is working on the problem, 11/29/2022 02:30 PM, 1241446];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[4]=[052,11/29/2022 10:53 AM, 11/29/2022 10:53 AM, Trouble Shooter is working on the problem, 11/29/2022 02:30 PM, 1241446];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[5]=[066,11/29/2022 07:23 AM, 11/29/2022 07:23 AM, Trouble Shooter is determining repairs required, , 1241365];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[6]=[076,11/29/2022 12:02 PM, 11/29/2022 12:02 PM, Trouble Shooter is determining repairs required, , 1241531];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[7]=[085,11/29/2022 01:32 PM, 11/29/2022 01:32 PM, Waiting to be analyzed, , 1241539];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[8]=[097,11/29/2022 01:00 PM, 11/29/2022 01:00 PM, Customer Svc is working this single customer outage, , 1241538];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[9]=[118,11/29/2022 08:16 AM, 11/29/2022 08:16 AM, A crew is currently working on the problem, 11/29/2022 03:00 PM, 1241368];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
events[10]=[133,11/29/2022 11:54 AM, 11/29/2022 11:54 AM, Trouble Shooter is determining repairs required, , 1241529];,# of Outages: 8,Customers Affected: 1498,2022-11-29T19:39:13Z
