V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[040,11/05/2022 05:46 AM, 11/05/2022 05:46 AM, A crew is currently working on the problem, 11/05/2022 06:00 PM, 1238170];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[1]=[040,11/05/2022 09:39 AM, 11/05/2022 09:39 AM, Waiting for an available crew to perform repairs, , 1238307];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[2]=[049,11/05/2022 02:32 AM, 11/05/2022 02:32 AM, Trouble Shooter is determining repairs required, , 1238059];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[3]=[049,11/05/2022 04:02 PM, 11/05/2022 04:02 PM, Trouble Shooter is determining repairs required, , 1238442];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[4]=[049,11/05/2022 06:32 AM, 11/05/2022 06:32 AM, Waiting for an available crew to perform repairs, , 1238200];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[5]=[049,11/05/2022 11:28 AM, 11/05/2022 11:28 AM, Trouble Shooter is determining repairs required, , 1238368];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[6]=[049,11/05/2022 11:49 AM, 11/05/2022 11:49 AM, Trouble Shooter is determining repairs required, , 1238380];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[7]=[049,11/05/2022 12:34 AM, 11/05/2022 12:34 AM, Trouble Shooter is determining repairs required, , 1237988];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[8]=[050,11/04/2022 11:41 PM, 11/04/2022 11:41 PM, Trouble Shooter is determining repairs required, , 1237966];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[9]=[050,11/05/2022 01:13 PM, 11/05/2022 01:13 PM, Waiting for an available crew to perform repairs, , 1238417];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[10]=[050,11/05/2022 01:15 AM, 11/05/2022 01:15 AM, Waiting for an available crew to perform repairs, , 1238013];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[11]=[051,11/05/2022 05:05 AM, 11/05/2022 05:05 AM, Trouble Shooter is determining repairs required, , 1238160];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[12]=[051,11/05/2022 07:01 AM, 11/05/2022 07:01 AM, Trouble Shooter is determining repairs required, , 1238206];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[13]=[051,11/05/2022 12:27 PM, 11/05/2022 12:27 PM, Trouble Shooter is determining repairs required, , 1238396];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[14]=[052,11/05/2022 01:01 AM, 11/05/2022 01:01 AM, Trouble Shooter is determining repairs required, , 1237995];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[15]=[052,11/05/2022 01:57 AM, 11/05/2022 01:57 AM, Waiting for an available crew to perform repairs, , 1238045];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[16]=[052,11/05/2022 02:45 PM, 11/05/2022 02:45 PM, Trouble Shooter is determining repairs required, , 1238431];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[17]=[052,11/05/2022 07:46 AM, 11/05/2022 07:46 AM, Trouble Shooter is determining repairs required, , 1238221];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[18]=[057,11/05/2022 02:46 PM, 11/05/2022 02:46 PM, Trouble Shooter is determining repairs required, , 1238433];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[19]=[060,11/05/2022 01:36 AM, 11/05/2022 01:36 AM, Trouble Shooter is determining repairs required, , 1238037];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[20]=[063,11/05/2022 01:02 PM, 11/05/2022 01:02 PM, Trouble Shooter is determining repairs required, , 1238413];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[21]=[063,11/05/2022 03:46 AM, 11/05/2022 03:46 AM, Trouble Shooter is determining repairs required, , 1238120];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[22]=[063,11/05/2022 04:17 PM, 11/05/2022 04:17 PM, Trouble Shooter is determining repairs required, , 1238443];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
events[23]=[064,11/05/2022 01:07 PM, 11/05/2022 01:07 PM, Trouble Shooter is determining repairs required, , 1238414];,# of Outages: 91,Customers Affected: 1831,2022-11-05T21:54:07Z
