V1,V2,V3,V4,V5,V6,outage_num,cust_affected,time
events[0]=[070,07/11/2022 01:41 PM, 07/11/2022 01:41 PM, Trouble Shooter is determining repairs required, , 1217989];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[1]=[073,07/11/2022 02:15 PM, 07/11/2022 02:15 PM, Waiting to be analyzed, , 1217990];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[2]=[073,07/11/2022 10:48 AM, 07/11/2022 10:48 AM, A crew is currently working on the problem, 07/11/2022 03:30 PM, 1217971];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[3]=[077,07/11/2022 10:47 AM, 07/11/2022 10:47 AM, Tree Trimming is clearing debris from the area, 07/11/2022 03:00 PM, 1217969];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[4]=[084,07/11/2022 12:33 PM, 07/11/2022 12:33 PM, Waiting for an available crew to perform repairs, , 1217983];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[5]=[085,07/11/2022 12:16 PM, 07/11/2022 12:16 PM, Customer Svc is working this single customer outage, , 1217981];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[6]=[089,07/11/2022 01:10 PM, 07/11/2022 01:10 PM, Customer Svc is working this single customer outage, , 1217984];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[7]=[098,07/11/2022 11:35 AM, 07/11/2022 11:35 AM, Customer Svc is working this single customer outage, , 1217978];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[8]=[114,07/11/2022 11:22 AM, 07/11/2022 11:22 AM, Customer Svc is working this single customer outage, , 1217977];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[9]=[119,07/11/2022 09:51 AM, 07/11/2022 09:51 AM, A crew is currently working on the problem, 07/11/2022 02:30 PM, 1217959];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
events[10]=[119,07/11/2022 10:07 AM, 07/11/2022 10:07 AM, A crew is currently working on the problem, 07/11/2022 02:30 PM, 1217963];,# of Outages: 11,Customers Affected: 128,2022-07-11T19:18:49Z
